model,precision,pearson,spearman,mse,cosine_error,fwd_sample_time_ms,e2e_sample_time_ms,learned_encoder_size_mb,system_size_mb,tokenizer_size_mb,embedding_table_size_mb,n_params
dan_standard,fp32,0.5253745913505554,0.512124519186217,0.21037335693836212,0.25443747639656067,0.0871643562504687,0.1611236124993809,11.268193244934082,101.35341548919678,0.6653003692626953,89.419921875,2952961
dan_optimized,int8,0.6912358999252319,0.6780406228327246,0.07872987538576126,0.05631653219461441,0.013685614062808327,0.06086391015642789,0.14793682098388672,90.23315906524658,0.6653003692626953,89.419921875,147969
cnn_standard,fp32,0.24061502516269684,0.22233456803098375,0.09881278872489929,0.1795290857553482,1.1031357484363014,1.1285180617186086,9.760319709777832,99.84554195404053,0.6653003692626953,89.419921875,2557697
cnn_optimized,int8,0.6254827976226807,0.607941709525829,0.11795566231012344,0.06050056591629982,0.2036012007813781,0.2379448624999725,0.9743032455444336,91.05952548980713,0.6653003692626953,89.419921875,278913
bigru_standard,fp32,0.6463256478309631,0.6274815664500878,0.09702087938785553,0.04237143695354462,0.989561159376251,1.0166376460944093,8.019591331481934,98.10481357574463,0.6653003692626953,89.419921875,2101249
bigru_optimized,int8,0.6459190249443054,0.6316495402901141,0.10485140234231949,0.046287767589092255,0.2831249703135086,0.3323835796877006,0.7942991256713867,90.87952136993408,0.6653003692626953,89.419921875,821249
sru_standard,fp32,0.663135826587677,0.6447721593500487,0.19626863300800323,0.07550543546676636,0.5099764296879528,0.5457959640608578,3.5075883865356445,93.59281063079834,0.6653003692626953,89.419921875,918785
sru_optimized,int8,0.6632166504859924,0.6486130564738304,0.10282823443412781,0.06264866888523102,0.13315129921807056,0.17318217890647247,0.3660879135131836,90.45131015777588,0.6653003692626953,89.419921875,377473
custom_hybrid,fp32,0.7774606943130493,0.7682659834360305,0.04922580346465111,0.049628980457782745,0.03267413828069721,0.0783498890640999,1.3237791061401367,91.40900135040283,0.6653003692626953,89.419921875,345637
custom_hybrid,int8,0.7749723792076111,0.765432410784917,0.050147440284490585,0.04968371242284775,0.03930463984289645,0.0893976242196004,0.3407125473022461,90.42593479156494,0.6653003692626953,89.419921875,345637
glove_mean,fp32,0.26414546370506287,0.2873186022453154,0.29170259833335876,0.26490747928619385,0.00483474218668789,0.004631010936861912,0.0,19.073867797851562,0.0,19.073867797851562,0
model2vec_static,fp32,0.7725982069969177,0.7540516069202422,0.13856716454029083,0.04988285154104233,0.03038600078113518,0.02754823124959671,0.0,29.69893741607666,0.8629999160766602,28.8359375,0
minilm,fp32,0.8274064064025879,0.8203246731235654,0.12428534775972366,0.03681892156600952,6.892309219529125,6.781331869532181,86.68394565582275,87.34981727600098,0.6658716201782227,0.0,22713216
